experiment_id,agent_type,outcome,duration_s,inconsistencies_count,strategies_used,seed,failure_rate
BASE-42,baseline,success,4.53,0,,42,0.0
PLAY-42,playbook,success,4.52,0,,42,0.0
BASE-43,baseline,success,4.53,0,,43,0.0
PLAY-43,playbook,success,4.52,0,,43,0.0
BASE-44,baseline,success,4.52,0,,44,0.0
PLAY-44,playbook,success,4.53,0,,44,0.0
BASE-45,baseline,success,4.53,0,,45,0.0
PLAY-45,playbook,success,4.53,0,,45,0.0
BASE-46,baseline,success,4.53,0,,46,0.0
PLAY-46,playbook,success,4.54,0,,46,0.0
BASE-47,baseline,success,4.53,0,,47,0.0
PLAY-47,playbook,success,4.53,0,,47,0.0
BASE-48,baseline,success,4.53,0,,48,0.0
PLAY-48,playbook,success,4.53,0,,48,0.0
BASE-49,baseline,success,4.53,0,,49,0.0
PLAY-49,playbook,success,4.54,0,,49,0.0
BASE-50,baseline,success,4.53,0,,50,0.0
PLAY-50,playbook,success,4.53,0,,50,0.0
BASE-51,baseline,success,4.54,0,,51,0.0
PLAY-51,playbook,success,4.55,0,,51,0.0
BASE-42,baseline,inconsistent,4.61,1,,42,0.05
PLAY-42,playbook,success,4.53,0,,42,0.05
BASE-43,baseline,success,5.44,0,,43,0.05
PLAY-43,playbook,success,8.00,0,,43,0.05
BASE-44,baseline,success,4.56,0,,44,0.05
PLAY-44,playbook,success,10.86,0,,44,0.05
BASE-45,baseline,success,4.54,0,,45,0.05
PLAY-45,playbook,success,7.84,0,,45,0.05
BASE-46,baseline,success,4.52,0,,46,0.05
PLAY-46,playbook,success,4.55,0,,46,0.05
BASE-47,baseline,success,4.54,0,,47,0.05
PLAY-47,playbook,success,11.09,0,,47,0.05
BASE-48,baseline,success,4.53,0,,48,0.05
PLAY-48,playbook,success,4.53,0,,48,0.05
BASE-49,baseline,success,4.53,0,,49,0.05
PLAY-49,playbook,success,7.60,0,,49,0.05
BASE-50,baseline,success,4.52,0,,50,0.05
PLAY-50,playbook,success,4.53,0,,50,0.05
BASE-51,baseline,success,4.52,0,,51,0.05
PLAY-51,playbook,success,4.54,0,,51,0.05
BASE-42,baseline,inconsistent,4.62,1,,42,0.1
PLAY-42,playbook,success,14.43,0,,42,0.1
BASE-43,baseline,success,5.41,0,,43,0.1
PLAY-43,playbook,success,7.97,0,,43,0.1
BASE-44,baseline,success,4.55,0,,44,0.1
PLAY-44,playbook,success,10.83,0,,44,0.1
BASE-45,baseline,inconsistent,4.38,1,,45,0.1
PLAY-45,playbook,success,4.53,0,,45,0.1
BASE-46,baseline,success,4.53,0,,46,0.1
PLAY-46,playbook,success,4.53,0,,46,0.1
BASE-47,baseline,success,4.53,0,,47,0.1
PLAY-47,playbook,success,11.07,0,,47,0.1
BASE-48,baseline,success,4.53,0,,48,0.1
PLAY-48,playbook,success,4.55,0,,48,0.1
BASE-49,baseline,success,5.15,0,,49,0.1
PLAY-49,playbook,success,7.57,0,,49,0.1
BASE-50,baseline,success,4.53,0,,50,0.1
PLAY-50,playbook,success,11.02,0,,50,0.1
BASE-51,baseline,success,4.53,0,,51,0.1
PLAY-51,playbook,success,4.53,0,,51,0.1
BASE-42,baseline,inconsistent,4.60,1,,42,0.15
PLAY-42,playbook,success,14.42,0,,42,0.15
BASE-43,baseline,inconsistent,5.69,1,,43,0.15
PLAY-43,playbook,success,7.97,0,,43,0.15
BASE-44,baseline,success,4.53,0,,44,0.15
PLAY-44,playbook,success,10.84,0,,44,0.15
BASE-45,baseline,inconsistent,4.37,1,,45,0.15
PLAY-45,playbook,success,15.30,0,,45,0.15
BASE-46,baseline,success,4.53,0,,46,0.15
PLAY-46,playbook,success,4.53,0,,46,0.15
BASE-47,baseline,success,4.54,0,,47,0.15
PLAY-47,playbook,success,11.08,0,,47,0.15
BASE-48,baseline,inconsistent,5.05,1,,48,0.15
PLAY-48,playbook,success,4.54,0,,48,0.15
BASE-49,baseline,inconsistent,5.74,1,,49,0.15
PLAY-49,playbook,success,4.53,0,,49,0.15
BASE-50,baseline,success,4.53,0,,50,0.15
PLAY-50,playbook,success,11.02,0,,50,0.15
BASE-51,baseline,success,4.53,0,,51,0.15
PLAY-51,playbook,success,4.54,0,,51,0.15
BASE-42,baseline,inconsistent,4.61,1,,42,0.2
PLAY-42,playbook,success,14.41,0,,42,0.2
BASE-43,baseline,inconsistent,5.70,1,,43,0.2
PLAY-43,playbook,success,7.99,0,,43,0.2
BASE-44,baseline,failure,4.75,0,,44,0.2
PLAY-44,playbook,success,10.83,0,,44,0.2
BASE-45,baseline,inconsistent,4.40,1,,45,0.2
PLAY-45,playbook,success,15.31,0,,45,0.2
BASE-46,baseline,success,4.55,0,,46,0.2
PLAY-46,playbook,success,4.53,0,,46,0.2
BASE-47,baseline,success,4.55,0,,47,0.2
PLAY-47,playbook,success,11.09,0,,47,0.2
BASE-48,baseline,inconsistent,5.04,1,,48,0.2
PLAY-48,playbook,success,15.94,0,,48,0.2
BASE-49,baseline,inconsistent,5.74,1,,49,0.2
PLAY-49,playbook,success,8.28,0,,49,0.2
BASE-50,baseline,success,4.54,0,,50,0.2
PLAY-50,playbook,success,11.04,0,,50,0.2
BASE-51,baseline,inconsistent,4.85,1,,51,0.2
PLAY-51,playbook,success,4.54,0,,51,0.2
